Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 10-Jan-2025 09:36:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
1.060660e-01     1.060660e-01     1.500000e-01     4.500000e+01     2.675298e-06     3.446892e-02     4.165339e+04     1.436507e-08     4.258101e+04     2.803455e-09     -4.258101e+04    2.394568e-09     -8.377492e-11    1.632129e-10     1.552048e-13     4.098302e-13     1.620329e-16     -1.553252e-16    7.044303e-15     -1.698051e-15    -1.855174e-13    -1.000286e-13    -3.523281e-12    -2.112256e-13    -4.074615e+04    -4.036778e-09    4.074615e+04     -6.724370e-09    -4.165339e+04    -4.738197e-08    1.338536e-06     -5.929393e-07    
1.131371e-01     1.131371e-01     1.600000e-01     4.500000e+01     -3.083758e-06    3.949808e-02     2.025079e-05     1.800460e-05     -8.898626e-07    1.563856e-06     4.165341e+04     3.488564e-08     4.258103e+04     4.319207e-09     -2.002847e-13    1.788626e-12     -2.970177e-13    5.501454e-13     4.252077e-14     4.182238e-14     -6.319586e-17    -1.480113e-16    1.688329e-14     -1.026432e-13    4.074618e+04     -3.841096e-11    9.271580e-11     -8.154612e-11    -4.258103e+04    -4.540781e-10    -4.074618e+04    -1.592797e-09    
1.202082e-01     1.202082e-01     1.700000e-01     4.500000e+01     1.102193e-05     4.456933e-02     4.165343e+04     2.071357e-07     -4.074621e+04    8.924535e-09     4.074621e+04     3.728211e-11     1.851866e-13     3.785396e-13     -2.911549e-14    4.541929e-14     -8.298031e-14    1.507101e-14     7.940524e-17     3.424178e-17     1.766320e-12     -4.740341e-13    4.403334e-12     -6.471966e-11    -4.258106e+04    -1.161828e-10    4.258106e+04     -9.177357e-09    -4.165343e+04    -1.973929e-07    -9.986495e-06    -1.532060e-06    
1.272792e-01     1.272792e-01     1.800000e-01     4.500000e+01     5.308314e-06     4.931049e-02     -6.858446e-07    1.002557e-06     4.165345e+04     4.571565e-08     4.074624e+04     3.569504e-09     4.258109e+04     1.600176e-09     -6.634732e-14    1.304108e-13     -1.541145e-16    3.719741e-17     2.433809e-14     -1.917548e-14    -2.060060e-13    -5.396636e-14    1.483900e-12     -1.466106e-12    1.078001e-10     -9.749622e-11    -4.074624e+04    -4.760037e-10    -4.258109e+04    -5.231694e-09    -4.165345e+04    -3.063283e-08    
1.343503e-01     1.343503e-01     1.900000e-01     4.500000e+01     3.047893e-05     5.341013e-02     -4.165347e+04    1.606096e-07     4.258112e+04     2.475291e-09     -4.258112e+04    2.179460e-10     -7.053422e-13    1.493393e-12     9.323238e-14     3.705084e-14     9.166955e-17     -1.736577e-16    -2.377837e-14    -8.830561e-15    -1.523150e-14    -3.519492e-13    3.975505e-10     -6.867800e-10    4.074627e+04     -7.196260e-10    -4.074627e+04    -8.552157e-10    -3.449039e-07    -8.703122e-08    4.165347e+04     -1.038129e-07    
1.414214e-01     1.414214e-01     2.000000e-01     4.500000e+01     -1.278951e-05    5.673689e-02     -2.396500e-05    1.021385e-05     -4.165349e+04    1.530194e-07     4.258115e+04     4.434646e-09     4.074631e+04     3.276629e-09     -7.553243e-12    4.699738e-13     1.427066e-13     2.594170e-13     -1.122609e-14    1.005411e-14     1.625662e-16     4.056076e-17     -2.515323e-13    -1.869416e-13    2.799439e-11     -1.115619e-12    -4.074631e+04    -5.019607e-09    -4.258115e+04    -5.678995e-09    4.165349e+04     -2.199130e-07    
1.484924e-01     1.484924e-01     2.100000e-01     4.500000e+01     -6.661014e-06    5.933808e-02     -9.019624e-07    1.452791e-06     -4.165352e+04    6.750406e-08     4.074634e+04     8.615608e-09     4.258118e+04     5.410854e-09     7.190716e-11     3.884345e-11     3.173181e-16     -2.891737e-16    4.009269e-14     -1.344606e-14    1.234896e-13     -1.300062e-13    -7.528146e-14    -1.688946e-13    1.122337e-12     -3.669532e-12    -4.074634e+04    -4.627804e-09    -4.258118e+04    -8.014985e-09    4.165352e+04     -1.067110e-07    
1.555635e-01     1.555635e-01     2.200000e-01     4.500000e+01     -8.331291e-06    6.124767e-02     -2.267930e-07    1.489764e-06     -4.258122e+04    2.072003e-09     -4.074638e+04    9.714736e-10     4.258122e+04     3.226245e-10     6.606403e-11     7.868610e-11     3.212727e-13     2.253075e-13     3.193700e-14     3.889656e-14     -1.143701e-13    1.818921e-14     -2.003616e-17    1.080823e-16     -5.304681e-13    -2.905223e-12    4.074638e+04     -2.093994e-09    4.165354e+04     -3.946988e-08    -4.165354e+04    -4.995778e-08    
1.626346e-01     1.626346e-01     2.300000e-01     4.500000e+01     -1.090549e-06    6.243420e-02     -3.979345e-06    6.451677e-06     -4.165357e+04    1.087798e-08     4.074642e+04     7.028290e-09     -4.074642e+04    5.179057e-10     4.258125e+04     1.706570e-10     -6.392859e-13    3.219387e-12     -7.417204e-14    2.779719e-14     2.737764e-17     1.468416e-16     3.047777e-14     -6.573264e-16    -4.425555e-13    -1.160991e-13    8.652004e-11     -3.752396e-11    -4.258125e+04    -3.627138e-09    4.165357e+04     -2.056723e-08    
1.697056e-01     1.697056e-01     2.400000e-01     4.500000e+01     -1.177041e-05    6.285090e-02     4.165359e+04     6.814387e-08     4.074646e+04     3.289915e-09     4.258129e+04     2.321355e-09     -4.074646e+04    1.183530e-09     -2.828237e-10    5.509487e-10     -6.707923e-15    6.122807e-13     -2.499232e-14    8.829537e-15     2.279255e-18     7.624104e-17     4.323422e-14     -6.569898e-14    -9.652515e-13    -1.225863e-12    -4.258129e+04    -3.398835e-09    -4.165359e+04    -1.283373e-07    -3.573866e-05    -2.593232e-06    
1.767767e-01     1.767767e-01     2.500000e-01     4.500000e+01     2.550050e-06     6.238504e-02     -2.776974e-05    1.184049e-05     -4.165362e+04    1.387547e-07     4.258133e+04     5.280514e-09     -7.114798e-13    1.194110e-12     -4.119656e-13    3.092758e-13     6.098748e-14     2.361187e-13     1.223567e-14     1.088992e-14     2.307476e-16     5.465593e-17     4.074650e+04     -1.009568e-10    -8.241957e-11    -1.874716e-10    -4.258133e+04    -3.208215e-09    -4.074650e+04    -5.303891e-09    4.165362e+04     -1.299804e-07    
1.838478e-01     1.838478e-01     2.600000e-01     4.500000e+01     3.541129e-06     6.093472e-02     -2.773695e-06    5.375072e-06     4.165365e+04     1.407994e-07     4.258137e+04     2.505870e-09     4.074655e+04     1.214926e-09     1.523087e-13     5.076746e-13     -4.489728e-12    3.885421e-13     -2.294208e-16    2.029924e-16     -1.244290e-14    -1.252326e-14    -6.114951e-14    -1.560253e-13    5.283392e-10     -5.407975e-11    -4.258137e+04    -5.969661e-10    -4.074655e+04    -3.415576e-09    -4.165365e+04    -1.670891e-07    
1.909188e-01     1.909188e-01     2.700000e-01     4.500000e+01     -1.753067e-05    5.838120e-02     2.270527e-05     1.752929e-05     -4.258141e+04    3.119027e-09     -4.074659e+04    2.574926e-09     -4.985244e-10    1.890573e-11     3.485220e-12     1.870702e-13     -1.026174e-13    1.036519e-13     -1.701303e-16    3.085087e-17     9.000481e-14     -3.242259e-15    -9.194629e-15    -1.048479e-13    4.258141e+04     -2.068935e-10    4.074659e+04     -1.856723e-09    -4.165368e+04    -1.996848e-08    4.165368e+04     -7.272128e-08    
1.979899e-01     1.979899e-01     2.800000e-01     4.500000e+01     -7.885082e-06    5.464659e-02     2.243492e-08     5.303800e-06     -4.165371e+04    1.503751e-07     4.074664e+04     4.051238e-09     4.258146e+04     1.998458e-09     -4.074664e+04    9.832696e-10     2.225221e-10     3.937128e-10     1.039550e-12     1.798038e-12     5.252002e-15     4.221079e-14     -1.454784e-16    -8.616024e-16    -2.026115e-13    -3.875206e-14    7.066962e-14     -7.112795e-13    -4.258146e+04    -6.126460e-09    4.165371e+04     -1.170049e-07    
2.050610e-01     2.050610e-01     2.900000e-01     4.500000e+01     1.604436e-05     4.966280e-02     6.556416e-06     9.512699e-06     -4.165374e+04    1.238013e-07     -4.258150e+04    4.241287e-09     4.258150e+04     4.160510e-09     2.665174e-13     5.438570e-13     -2.437473e-13    5.417222e-14     1.031273e-14     3.735911e-14     2.539020e-16     1.842592e-16     3.156223e-13     -7.931082e-14    -1.534795e-10    -4.901129e-10    4.074669e+04     -9.235682e-10    -4.074669e+04    -9.881268e-09    4.165374e+04     -1.702562e-07    
2.121320e-01     2.121320e-01     3.000000e-01     4.500000e+01     1.949310e-06     4.333240e-02     -7.110770e-05    4.159214e-05     4.165378e+04     2.487849e-07     6.258289e-11     1.871225e-09     -3.322545e-13    3.824681e-13     1.176618e-13     4.100356e-14     4.599780e-14     2.455919e-14     -2.308501e-16    -1.114376e-16    1.720341e-12     -1.079671e-12    4.074674e+04     -3.643615e-10    4.258155e+04     -5.996130e-10    -4.258155e+04    -3.201047e-09    -4.074674e+04    -3.359728e-09    -4.165378e+04    -2.504942e-07    
2.192031e-01     2.192031e-01     3.100000e-01     4.500000e+01     -9.237497e-06    3.557273e-02     -4.071860e-05    5.906494e-05     -4.165381e+04    9.381809e-08     -4.074680e+04    1.919983e-09     2.191738e-10     7.930193e-11     -1.278462e-12    4.463007e-13     1.434347e-13     1.232688e-13     -5.000271e-17    9.643856e-16     -4.686364e-14    -3.323449e-14    4.275312e-13     -3.114618e-12    -4.258160e+04    -3.795717e-09    4.074680e+04     -4.442648e-09    4.258160e+04     -5.866745e-09    4.165381e+04     -4.515302e-08    
2.262742e-01     2.262742e-01     3.200000e-01     4.500000e+01     -2.530500e-05    2.620228e-02     -1.058200e-04    4.514201e-05     4.165385e+04     1.512643e-07     -4.074685e+04    3.352879e-09     4.258165e+04     6.129356e-10     9.698165e-10     3.447450e-10     6.228859e-15     6.717530e-14     -2.480845e-16    -1.405980e-15    4.864314e-14     -1.908589e-14    3.668216e-13     -1.445017e-13    -5.933151e-12    -1.583128e-12    4.074685e+04     -4.333174e-09    -4.258165e+04    -5.522903e-09    -4.165385e+04    -1.430986e-07    
2.333452e-01     2.333452e-01     3.300000e-01     4.500000e+01     6.629420e-06     1.499162e-02     4.646184e-06     6.423243e-06     4.165388e+04     4.477353e-08     4.074691e+04     1.577033e-09     -4.258170e+04    6.609812e-10     -2.153931e-09    6.023215e-10     -6.578309e-12    9.481591e-12     -2.325770e-13    3.258319e-13     6.137005e-14     6.909316e-14     -2.744416e-16    -1.519405e-15    4.175155e-14     -6.106659e-14    4.258170e+04     -1.401633e-09    -4.074691e+04    -4.663730e-09    -4.165388e+04    -2.431066e-08    
2.404163e-01     2.404163e-01     3.400000e-01     4.500000e+01     1.732504e-05     1.736785e-03     3.122737e-06     1.390303e-06     4.165392e+04     3.807808e-08     4.074696e+04     3.632795e-09     -4.074696e+04    1.887435e-09     -3.834914e-12    1.236730e-11     -5.791564e-14    2.775974e-13     3.330990e-13     5.017332e-14     7.341514e-16     -3.749697e-16    2.959518e-14     -4.697254e-14    4.258175e+04     -2.297870e-10    -1.737402e-10    -1.263837e-09    -4.258175e+04    -4.068409e-09    -4.165392e+04    -3.616977e-08    
2.474874e-01     2.474874e-01     3.500000e-01     4.500000e+01     -7.049298e-05    6.855455e-07     -4.165396e+04    9.047278e-09     -4.258181e+04    6.085447e-09     4.165396e+04     2.589456e-09     4.074702e+04     2.525008e-09     -1.034296e-12    4.977571e-12     -8.849639e-14    2.041488e-13     2.940046e-14     2.664694e-14     5.470125e-16     -2.825826e-17    3.750439e-14     -1.910329e-13    4.258181e+04     -1.407518e-09    -3.033707e-10    -3.290723e-09    -4.074702e+04    -3.430983e-09    2.449461e-08     -1.147850e-06    
