k, Re(omega1), Im(omega1), Re(omega2), Im(omega2), ... [by BO]
+1.00000e+00 	-4.99280e+00 	-2.41495e-02 	-4.99280e+00 	-2.41495e-02 	-5.99348e+00 	-2.81881e-02 	-5.99348e+00 	-2.81881e-02 	+5.99348e+00 	-2.81881e-02 	-2.04683e+00 	-5.18614e-02 	+6.99399e+00 	-3.33012e-02 	+6.99399e+00 	-3.33012e-02 	+6.99399e+00 	-3.33012e-02 	
+1.10000e+00 	-4.99189e+00 	-2.56624e-02 	-4.99189e+00 	-2.56624e-02 	-5.99273e+00 	-2.97834e-02 	-5.99273e+00 	-2.97834e-02 	+5.99273e+00 	-2.97834e-02 	-2.04613e+00 	-2.65121e-02 	+6.99330e+00 	-3.51409e-02 	+6.99330e+00 	-3.51409e-02 	+6.99330e+00 	-3.51409e-02 	
+1.20000e+00 	-4.99092e+00 	-2.71616e-02 	-4.99092e+00 	-2.71616e-02 	-5.99196e+00 	-3.12820e-02 	-5.99196e+00 	-3.12820e-02 	+5.99196e+00 	-3.12820e-02 	-1.99563e+00 	-1.96598e-03 	+6.99259e+00 	-3.68413e-02 	+6.99259e+00 	-3.68413e-02 	+6.99259e+00 	-3.68413e-02 	
+1.30000e+00 	-4.98988e+00 	-2.86922e-02 	-4.98988e+00 	-2.86922e-02 	-5.99116e+00 	-3.27008e-02 	-5.99116e+00 	-3.27008e-02 	+5.99116e+00 	-3.27008e-02 	-1.95218e+00 	-1.55676e-02 	+6.99185e+00 	-3.84185e-02 	+6.99185e+00 	-3.84185e-02 	+6.99185e+00 	-3.84185e-02 	
+1.40000e+00 	-4.98881e+00 	-3.03040e-02 	-4.98881e+00 	-3.03040e-02 	-5.99033e+00 	-3.40595e-02 	-5.99033e+00 	-3.40595e-02 	+5.99033e+00 	-3.40595e-02 	-1.94802e+00 	-8.22749e-02 	+6.99110e+00 	-3.98875e-02 	+6.99110e+00 	-3.98875e-02 	+6.99110e+00 	-3.98875e-02 	
+1.50000e+00 	-4.98770e+00 	-3.20475e-02 	-4.98770e+00 	-3.20475e-02 	-5.98946e+00 	-3.53821e-02 	-5.98946e+00 	-3.53821e-02 	+5.98946e+00 	-3.53821e-02 	-1.94677e+00 	-9.26766e-02 	+6.99032e+00 	-4.12633e-02 	+6.99032e+00 	-4.12633e-02 	+6.99032e+00 	-4.12633e-02 	
+1.60000e+00 	-4.98650e+00 	-3.39583e-02 	-4.98650e+00 	-3.39583e-02 	-5.98857e+00 	-3.66971e-02 	-5.98857e+00 	-3.66971e-02 	+5.98857e+00 	-3.66971e-02 	-1.96911e+00 	-5.83863e-02 	+6.98952e+00 	-4.25622e-02 	+6.98952e+00 	-4.25622e-02 	+6.98952e+00 	-4.25622e-02 	
+1.70000e+00 	-4.98509e+00 	-3.59522e-02 	-4.98509e+00 	-3.59522e-02 	-5.98768e+00 	-3.80365e-02 	-5.98768e+00 	-3.80365e-02 	+5.98768e+00 	-3.80365e-02 	-1.98476e+00 	-2.92535e-02 	+6.98870e+00 	-4.38026e-02 	+6.98870e+00 	-4.38026e-02 	+6.98870e+00 	-4.38026e-02 	
+1.80000e+00 	-4.98347e+00 	-3.77696e-02 	-4.98347e+00 	-3.77696e-02 	-5.98680e+00 	-3.94336e-02 	-5.98680e+00 	-3.94336e-02 	+5.98680e+00 	-3.94336e-02 	-1.99710e+00 	-1.66926e-02 	+6.98785e+00 	-4.50056e-02 	+6.98785e+00 	-4.50056e-02 	+6.98785e+00 	-4.50056e-02 	
+1.90000e+00 	-4.98182e+00 	-3.93327e-02 	-4.98182e+00 	-3.93327e-02 	-5.98599e+00 	-4.09238e-02 	-5.98599e+00 	-4.09238e-02 	+5.98599e+00 	-4.09238e-02 	-2.00541e+00 	-9.49169e-03 	+6.98700e+00 	-4.61949e-02 	+6.98700e+00 	-4.61949e-02 	+6.98700e+00 	-4.61949e-02 	
