Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 03-Jan-2025 15:07:38
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
3.490481e-02     1.999695e+00     2.000000e+00     8.900000e+01     1.990279e+00     2.274958e-03     -1.990278e+00    2.271745e-03     1.298493e-07     4.926419e-06     -1.755192e+00    7.585664e-07     1.536953e+02     2.196711e-10     1.120991e+02     1.570061e-10     -2.092332e+02    7.285399e-11     7.551327e-16     1.278979e-14     -2.444935e-14    9.439323e-15     9.103014e-15     4.482851e-15     -3.918642e-15    3.462914e-15     4.031693e-16     6.340101e-16     -9.202971e-15    2.682323e-16     6.757178e-16     -8.246426e-16    -1.133910e-16    -9.257478e-16    -1.243739e-15    -2.713433e-15    2.092332e+02     -7.983203e-12    -1.120991e+02    -1.584158e-10    
3.665005e-02     2.099680e+00     2.100000e+00     8.900000e+01     1.989904e+00     1.256317e-02     -1.989903e+00    1.256110e-02     2.003850e+00     3.246727e-03     -2.003851e+00    3.246392e-03     -1.825581e+00    7.637749e-07     -5.435163e-06    1.702607e-07     1.539981e+02     1.363557e-09     -1.123646e+02    3.549367e-10     -2.093151e+02    1.034966e-10     4.335688e-14     2.900153e-14     -1.315277e-14    1.612468e-14     1.893913e-14     1.416965e-15     -1.253677e-16    5.722197e-16     -1.214192e-14    8.811429e-17     3.020222e-16     -1.174428e-17    -4.358675e-17    -4.506009e-16    1.664293e-14     -2.307018e-15    -1.007163e-14    -4.658756e-15    
3.839529e-02     2.199665e+00     2.200000e+00     8.900000e+01     1.998778e+00     3.087930e-02     -1.998778e+00    3.087314e-02     -2.000121e+00    4.083588e-03     2.000121e+00     4.082470e-03     -1.878882e+00    9.459828e-05     1.878886e+00     9.269457e-05     -2.115532e+00    7.391513e-05     2.115531e+00     6.962493e-05     8.924823e-07     1.124672e-06     -1.543150e+02    6.428301e-10     1.543150e+02     5.032624e-10     2.094013e+02     1.518087e-10     1.147637e-14     3.452117e-15     3.088099e-14     3.196134e-15     1.513877e-15     1.358886e-15     -7.161560e-16    3.868388e-16     -4.961673e-16    1.402682e-16     -2.012097e-14    5.152661e-17     
4.014053e-02     2.299650e+00     2.300000e+00     8.900000e+01     -2.019987e+00    4.254393e-02     2.019982e+00     4.253824e-02     1.998179e+00     3.993026e-03     -1.998179e+00    3.992176e-03     2.131357e+00     1.028199e-04     -2.131348e+00    1.002104e-04     1.599514e-07     4.876380e-06     1.546459e+02     4.689331e-09     1.129306e+02     5.204299e-10     -1.546459e+02    5.027000e-10     -1.129306e+02    3.737728e-10     1.022374e-14     5.185062e-15     -2.237483e-14    5.008338e-15     -1.301593e-15    8.779633e-16     -1.148271e-14    8.410516e-16     -3.792916e-16    3.789249e-16     6.152782e-15     2.439126e-16     -8.303582e-15    -1.026511e-17    
4.188578e-02     2.399634e+00     2.400000e+00     8.900000e+01     -2.041817e+00    3.625648e-02     2.041818e+00     3.625099e-02     1.996486e+00     4.077565e-03     -1.996487e+00    4.077547e-03     2.167526e+00     8.989278e-06     -2.167526e+00    3.774403e-06     1.059380e-06     7.854456e-07     -1.549908e+02    8.282400e-10     1.132307e+02     4.993927e-10     2.095865e+02     8.981619e-11     -1.409318e-14    1.228882e-14     -2.370311e-14    7.970730e-15     1.429031e-13     6.751997e-15     5.852096e-15     1.294023e-15     -1.259822e-15    1.467964e-16     3.716490e-16     5.708134e-17     -4.798194e-16    -9.789799e-17    1.638410e-14     -1.992043e-15    
4.363102e-02     2.499619e+00     2.500000e+00     8.900000e+01     2.054069e+00     2.253899e-02     -2.054067e+00    2.253735e-02     -1.994671e+00    3.961897e-03     1.994672e+00     3.961621e-03     6.920502e-09     4.232769e-06     2.232301e+00     2.538131e-08     1.135419e+02     7.807326e-10     2.096856e+02     6.891191e-11     1.553495e+02     4.692745e-11     -1.485358e-14    5.568996e-15     1.225796e-15     1.323282e-15     -2.100366e-14    1.143917e-15     4.523930e-16     3.806746e-16     -6.878280e-16    4.535587e-17     7.249279e-15     -1.356374e-15    -7.059367e-16    -1.387778e-15    -1.978764e-14    -8.515800e-15    -6.956531e-16    -8.667145e-15    
4.537626e-02     2.599604e+00     2.600000e+00     8.900000e+01     2.061239e+00     1.073597e-02     -2.061238e+00    1.073181e-02     1.992855e+00     3.394219e-03     -1.992854e+00    3.393738e-03     -2.968841e+00    1.208194e-04     2.968841e+00     1.194295e-04     -1.937849e-07    4.703873e-06     -2.312904e+00    3.579469e-06     -1.557221e+02    2.156791e-09     -1.138641e+02    3.382540e-10     1.138641e+02     9.679293e-11     -2.097892e+02    6.571963e-11     1.679526e-15     1.093160e-14     -2.661211e-14    2.552762e-15     -3.246177e-16    1.274867e-15     -4.227749e-16    -4.366335e-17    -4.321225e-15    -4.758090e-16    -4.779173e-16    -7.313968e-16    
4.712150e-02     2.699589e+00     2.700000e+00     8.900000e+01     -2.960182e+00    7.273723e-03     2.960182e+00     7.272842e-03     1.991340e+00     2.370884e-03     -1.991340e+00    2.370624e-03     2.067379e+00     1.808001e-03     -2.067379e+00    1.807006e-03     1.660117e-06     1.043967e-06     -2.399092e+00    6.108732e-07     -1.561082e+02    1.581206e-09     2.098971e+02     6.775105e-11     1.141971e+02     7.125288e-12     1.503427e-14     1.413331e-14     4.817136e-15     7.102030e-15     -1.001764e-14    2.323780e-15     3.265231e-15     1.363171e-15     -4.447655e-16    4.807714e-17     1.269723e-15     -6.412938e-17    3.225450e-16     -1.834163e-16    
4.886674e-02     2.799574e+00     2.800000e+00     8.900000e+01     2.951452e+00     1.432437e-02     -2.951449e+00    1.432405e-02     1.990383e+00     1.164090e-03     -1.990383e+00    1.163815e-03     -2.800759e-07    4.521749e-06     -2.487154e+00    1.617474e-06     1.565080e+02     1.801185e-09     -1.145406e+02    2.176531e-10     -2.100095e+02    5.751344e-12     -8.263627e-15    1.398777e-14     3.187181e-14     5.534823e-15     -1.939193e-14    5.213840e-15     7.416306e-18     1.246471e-15     5.206118e-16     2.430740e-16     -7.569890e-16    -8.729907e-16    9.648160e-16     -1.435398e-15    -4.043233e-15    -4.445796e-15    -7.295685e-15    -9.776555e-15    
5.061198e-02     2.899558e+00     2.900000e+00     8.900000e+01     -2.942937e+00    2.173334e-02     2.942940e+00     2.172762e-02     -1.989965e+00    1.788131e-04     1.989965e+00     1.787832e-04     2.575434e+00     6.989723e-07     -2.575431e+00    1.649215e-07     7.337815e-06     4.570912e-08     -1.569211e+02    5.736490e-10     2.101265e+02     3.628809e-11     -8.247977e-15    8.431649e-15     2.426405e-14     5.568112e-15     7.557831e-15     1.983103e-15     -2.989061e-16    1.002733e-15     4.333494e-16     -5.269772e-16    9.014683e-16     -7.722653e-16    -5.224837e-16    -1.052112e-15    5.205316e-15     -6.229406e-15    8.949611e-15     -1.006093e-14    
