Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 24-Dec-2024 15:24:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
6.544902e-03     7.499714e-01     7.500000e-01     8.950000e+01     -1.896490e-13    1.489095e-04     -1.758496e-09    7.412967e-10     -5.318048e-12    6.853068e-12     -7.181079e+02    4.352741e-12     7.181079e+02     2.939787e-12     4.388573e+03     2.082045e-12     1.486596e-12     1.269712e-12     9.441833e-13     1.007844e-12     -1.310125e-15    -6.265454e-17    6.252854e-16     -1.201174e-15    -6.599038e-14    -3.267178e-14    5.379668e-13     -4.568573e-13    -4.388573e+03    -1.585922e-12    -2.865604e-12    -2.124831e-12    -7.504520e-01    -1.178543e-10    7.504520e-01     -1.179026e-10    7.063810e-08     -3.767191e-10    -6.887067e-08    -3.965297e-10    
6.763065e-03     7.749705e-01     7.750000e-01     8.950000e+01     8.874091e-14     1.518027e-04     -6.826917e-08    2.237073e-09     7.430421e-08     1.722722e-09     -4.819004e-13    8.807919e-13     -7.181274e+02    5.761078e-13     -4.388574e+03    5.366027e-13     7.181274e+02     4.767562e-13     2.427761e-13     2.933160e-13     1.025213e-12     5.462768e-14     -6.108714e-16    3.795432e-16     8.666515e-16     -1.035604e-17    1.965344e-13     -7.602459e-13    4.388574e+03     -9.820461e-13    -1.238477e-12    -1.078925e-12    -1.499550e-12    -1.346743e-12    7.753629e-01     -1.240548e-10    -7.753629e-01    -1.243455e-10    -6.036914e-09    -3.983263e-09    
6.981228e-03     7.999695e-01     8.000000e-01     8.950000e+01     4.084200e-13     1.544989e-04     1.000473e+00     1.455982e-06     -1.000473e+00    1.455953e-06     7.188633e-08     2.679898e-10     -7.449039e-08    2.562634e-10     4.388574e+03     5.269079e-12     4.995723e-13     2.413413e-13     -3.026989e-15    1.005305e-15     1.151888e-16     -1.645203e-16    9.917750e-13     -1.015631e-13    -4.388574e+03    -4.029583e-13    2.106575e-12     -7.989316e-13    9.346116e-14     -1.161342e-12    -2.700550e-12    -2.556669e-12    -8.471183e-12    -5.677386e-12    -7.181476e+02    -9.468339e-12    7.181476e+02     -9.530358e-12    -8.002507e-01    -1.295017e-10    
7.199392e-03     8.249686e-01     8.250000e-01     8.950000e+01     -9.431487e-13    1.569927e-04     -1.000577e+00    2.021710e-06     1.000577e+00     2.021675e-06     -7.391035e-08    4.428472e-11     7.928655e-08     2.046716e-11     -7.181684e+02    1.276742e-12     1.509900e-17     1.285503e-15     -9.620701e-17    -8.797962e-17    2.507429e-13     -1.034540e-13    1.375998e-12     -3.934854e-13    -2.799089e-13    -5.159402e-13    4.388575e+03     -5.700529e-13    3.370955e-12     -8.042761e-13    -4.388575e+03    -9.068052e-13    -2.933551e-12    -9.090815e-13    8.429269e-13     -1.588256e-12    7.181684e+02     -2.104257e-12    -5.372830e-09    -9.025387e-11    
7.417555e-03     8.499676e-01     8.500000e-01     8.950000e+01     5.532705e-13     1.592788e-04     -1.000721e+00    1.478115e-06     1.000721e+00     1.478112e-06     7.315164e-08     1.972799e-09     -8.398493e-08    1.285049e-09     4.388575e+03     1.217066e-12     -4.388575e+03    1.108602e-12     -2.737644e-12    1.078764e-12     -9.381448e-13    6.117043e-13     1.586124e-13     3.127749e-13     3.747059e-16     3.312100e-16     -7.261947e-16    -4.382778e-16    2.283155e-12     -3.957568e-13    1.362626e-13     -6.462839e-13    -2.551146e-14    -1.736600e-12    7.181899e+02     -3.078671e-12    -7.181899e+02    -9.466968e-12    8.499201e-01     -1.460116e-10    
7.635719e-03     8.749667e-01     8.750000e-01     8.950000e+01     9.401164e-15     1.613521e-04     -1.000928e+00    6.157435e-07     1.000928e+00     6.156868e-07     -2.068493e-09    5.856313e-10     -7.182120e+02    3.644647e-12     1.851066e-12     3.216900e-12     -7.817653e-12    2.114375e-12     7.699408e-14     1.490860e-12     -4.388576e+03    3.775888e-13     -1.110223e-15    1.227778e-15     1.946799e-16     -9.487035e-16    -1.852628e-13    -8.433499e-14    3.270579e-12     -4.405459e-13    -1.944545e-12    -7.453354e-13    4.388576e+03     -4.187151e-12    7.182120e+02     -7.464952e-12    8.746658e-01     -1.530180e-10    -8.746658e-01    -1.534661e-10    
7.853882e-03     8.999657e-01     9.000000e-01     8.950000e+01     4.919658e-13     1.632074e-04     -8.359358e-08    2.707147e-10     8.541187e-08     2.565711e-10     1.386275e-11     6.539851e-12     -2.877715e-12    1.155622e-12     -7.182348e+02    6.892095e-13     6.358429e-13     5.788129e-13     9.524938e-16     6.394801e-16     5.921688e-16     -5.231952e-16    1.320228e-12     -1.088316e-13    7.182348e+02     -1.120226e-12    -4.388576e+03    -1.924047e-12    1.147773e-13     -2.172220e-12    -1.125194e-11    -3.185835e-12    4.388576e+03     -9.501792e-12    -8.992999e-01    -1.449072e-10    8.992999e-01     -1.450450e-10    -1.815607e-09    -5.521105e-10    
8.072045e-03     9.249648e-01     9.250000e-01     8.950000e+01     5.715521e-13     1.648399e-04     8.552721e-08     2.785203e-10     -8.655487e-08    2.708458e-10     -5.939679e-13    7.742266e-13     6.285546e-13     2.660041e-13     -3.148296e-12    2.197636e-13     -1.845931e-15    -6.855639e-17    1.629451e-15     -2.146153e-16    4.388577e+03     -3.846804e-13    -5.476018e-12    -4.402246e-13    7.481536e-13     -1.254983e-12    -7.182581e+02    -1.381736e-12    -4.388577e+03    -3.332013e-12    1.155681e-12     -3.518399e-12    7.182581e+02     -4.369065e-12    -9.237235e-01    -7.058977e-11    9.237235e-01     -7.094562e-11    1.027456e-09     -5.758156e-10    
8.290209e-03     9.499638e-01     9.500000e-01     8.950000e+01     1.031651e-14     1.662445e-04     8.714235e-08     1.313897e-09     -9.223538e-08    1.107524e-09     9.476687e-01     3.712505e-10     -9.476687e-01    3.701217e-10     -1.970406e-12    2.204221e-12     1.958814e-13     6.396736e-13     -2.935916e-13    2.079601e-13     7.860582e-12     1.470493e-13     -2.036333e-16    1.332707e-15     -6.438974e-16    -5.410327e-16    -7.182822e+02    -1.140529e-12    4.388578e+03     -1.710592e-12    -4.388578e+03    -2.097351e-12    -6.591672e-12    -3.149204e-12    -4.591734e-13    -4.588858e-12    7.182822e+02     -1.213597e-11    5.093492e-09     -2.449190e-09    
8.508372e-03     9.749629e-01     9.750000e-01     8.950000e+01     -2.554850e-13    1.674164e-04     9.701808e-01     3.903954e-09     -9.701808e-01    3.901874e-09     -6.610957e-09    3.152746e-09     -7.183068e+02    1.253621e-11     7.183068e+02     7.436703e-12     3.196604e-12     1.951225e-12     6.858047e-13     7.901139e-13     -4.596032e-13    2.864247e-13     -8.568848e-16    1.320577e-15     -1.011334e-15    -5.035810e-16    -1.213544e-13    -4.175419e-13    4.388578e+03     -1.721173e-12    -4.388578e+03    -1.948525e-12    -1.243061e-12    -5.134839e-12    2.200821e-12     -5.292210e-12    9.268487e-08     -1.416302e-09    -8.607047e-08    -1.762639e-09    
